# ststem: haicgu, experiment: pingpong, nnodes: 2, process-per-node: 1
# msg_size, extra, datafile
1B, cn-ib, ./data/haicgu/2024-07-30_18:10:09/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_18:10:27/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_18:10:45/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_18:11:02/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-30_18:11:20/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-30_18:11:38/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-30_18:11:55/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-30_18:12:14/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-30_18:12:32/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-30_18:12:53/data.csv
1GiB, cn-ib, ./data/haicgu/2024-07-30_18:13:34/data.csv
1B, cn-eth, ./data/haicgu/2024-08-06_14:25:55/data.csv
8B, cn-eth, ./data/haicgu/2024-08-06_14:26:14/data.csv
64B, cn-eth, ./data/haicgu/2024-08-06_14:26:33/data.csv
512B, cn-eth, ./data/haicgu/2024-08-06_14:26:52/data.csv
4KiB, cn-eth, ./data/haicgu/2024-08-06_14:27:12/data.csv
32KiB, cn-eth, ./data/haicgu/2024-08-06_14:27:31/data.csv
256KiB, cn-eth, ./data/haicgu/2024-08-06_14:27:50/data.csv
2MiB, cn-eth, ./data/haicgu/2024-08-06_14:28:10/data.csv
16MiB, cn-eth, ./data/haicgu/2024-08-06_14:28:29/data.csv
128MiB, cn-eth, ./data/haicgu/2024-08-06_14:28:52/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_08:57:16/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_08:57:35/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_08:57:53/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_08:58:11/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_08:58:29/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_08:58:47/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_08:59:05/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_08:59:24/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_08:59:42/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_09:00:03/data.csv
1GiB, cn-eth, ./data/haicgu/2024-07-30_09:00:44/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_18:10:09/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_18:10:27/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_18:10:45/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_18:11:02/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-30_18:11:20/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-30_18:11:38/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-30_18:11:55/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-30_18:12:14/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-30_18:12:32/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-30_18:12:53/data.csv
1GiB, cn-ib, ./data/haicgu/2024-07-30_18:13:34/data.csv
1B, , ./data/haicgu/2024-07-24_19:22:28/data.csv
8B, , ./data/haicgu/2024-07-24_19:22:46/data.csv
64B, , ./data/haicgu/2024-07-24_19:23:05/data.csv
512B, , ./data/haicgu/2024-07-24_19:23:22/data.csv
4KiB, , ./data/haicgu/2024-07-24_19:23:41/data.csv
32KiB, , ./data/haicgu/2024-07-24_19:23:59/data.csv
256KiB, , ./data/haicgu/2024-07-24_19:24:17/data.csv
2MiB, , ./data/haicgu/2024-07-24_19:24:36/data.csv
16MiB, , ./data/haicgu/2024-07-24_19:24:54/data.csv
128MiB, , ./data/haicgu/2024-07-24_19:25:15/data.csv
1B, haicgu2, ./data/haicgu/2024-08-06_14:25:55/data.csv
8B, haicgu2, ./data/haicgu/2024-08-06_14:26:14/data.csv
64B, haicgu2, ./data/haicgu/2024-08-06_14:26:33/data.csv
512B, haicgu2, ./data/haicgu/2024-08-06_14:26:52/data.csv
4KiB, haicgu2, ./data/haicgu/2024-08-06_14:27:12/data.csv
32KiB, haicgu2, ./data/haicgu/2024-08-06_14:27:31/data.csv
256KiB, haicgu2, ./data/haicgu/2024-08-06_14:27:50/data.csv
2MiB, haicgu2, ./data/haicgu/2024-08-06_14:28:10/data.csv
16MiB, haicgu2, ./data/haicgu/2024-08-06_14:28:29/data.csv
128MiB, haicgu2, ./data/haicgu/2024-08-06_14:28:52/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_08:57:16/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_08:57:35/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_08:57:53/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_08:58:11/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_08:58:29/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_08:58:47/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_08:59:05/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_08:59:24/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_08:59:42/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_09:00:03/data.csv
1GiB, cn-eth, ./data/haicgu/2024-07-30_09:00:44/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_18:10:09/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_18:10:27/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_18:10:45/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_18:11:02/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-30_18:11:20/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-30_18:11:38/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-30_18:11:55/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-30_18:12:14/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-30_18:12:32/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-30_18:12:53/data.csv
1GiB, cn-ib, ./data/haicgu/2024-07-30_18:13:34/data.csv
1B, , ./data/haicgu/2024-07-24_19:22:28/data.csv
8B, , ./data/haicgu/2024-07-24_19:22:46/data.csv
64B, , ./data/haicgu/2024-07-24_19:23:05/data.csv
512B, , ./data/haicgu/2024-07-24_19:23:22/data.csv
4KiB, , ./data/haicgu/2024-07-24_19:23:41/data.csv
32KiB, , ./data/haicgu/2024-07-24_19:23:59/data.csv
256KiB, , ./data/haicgu/2024-07-24_19:24:17/data.csv
2MiB, , ./data/haicgu/2024-07-24_19:24:36/data.csv
16MiB, , ./data/haicgu/2024-07-24_19:24:54/data.csv
128MiB, , ./data/haicgu/2024-07-24_19:25:15/data.csv
1B, haicgu2, ./data/haicgu/2024-08-06_14:25:55/data.csv
8B, haicgu2, ./data/haicgu/2024-08-06_14:26:14/data.csv
64B, haicgu2, ./data/haicgu/2024-08-06_14:26:33/data.csv
512B, haicgu2, ./data/haicgu/2024-08-06_14:26:52/data.csv
4KiB, haicgu2, ./data/haicgu/2024-08-06_14:27:12/data.csv
32KiB, haicgu2, ./data/haicgu/2024-08-06_14:27:31/data.csv
256KiB, haicgu2, ./data/haicgu/2024-08-06_14:27:50/data.csv
2MiB, haicgu2, ./data/haicgu/2024-08-06_14:28:10/data.csv
16MiB, haicgu2, ./data/haicgu/2024-08-06_14:28:29/data.csv
128MiB, haicgu2, ./data/haicgu/2024-08-06_14:28:52/data.csv
